,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
196193,F7E77C129B354B9E,electric_bike,2024-12-04 17:02:48.676,2024-12-04 17:05:27.037,,,Wyckoff Ave & Gates Ave,4847.03,40.7,-73.92,40.699871408829885,-73.91171872615814,member
196932,CEB50D1EA9927BF5,electric_bike,2024-12-05 19:12:56.449,2024-12-05 19:24:18.913,,,11 Ave & Prospect Ave,3538.09,40.66,-73.99,40.65629,-73.977335,member
200521,1F5CD185F702740E,electric_bike,2024-12-01 16:25:12.070,2024-12-01 16:31:12.697,,,Murray St & West St,5329.08,40.73,-74.01,40.71503,-74.01246,casual
207140,F0DAA27A57A3E875,electric_bike,2024-12-13 10:57:21.761,2024-12-13 11:08:05.676,,,W 51 St & 7 Ave,6779.07,40.75,-73.98,40.76167,-73.98256,member
213913,112574A1AC4E9E69,electric_bike,2024-12-11 22:04:45.229,2024-12-11 22:10:10.036,,,Rivington St & Ridge St,5406.02,40.72,-73.99,40.71850211,-73.98329859,member
213919,32405C400CEA93F5,electric_bike,2024-12-04 12:46:11.900,2024-12-04 13:11:13.477,,,W 52 St & 6 Ave,,40.72,-73.96,40.76,-73.98,member
215917,2B98D15FCD111AD9,electric_bike,2024-12-10 14:08:33.975,2024-12-10 14:13:04.127,,,Hoe Ave & Jennings St,8095.06,40.84,-73.89,40.832171,-73.889686,member
216265,006E8BECE44CBD58,electric_bike,2024-12-09 16:30:24.053,2024-12-09 16:36:39.828,,,Huron St & Franklin St,5869.04,40.72,-73.95,40.73266,-73.95826,casual
223154,4AE0075164DB70EF,electric_bike,2024-12-05 11:24:45.425,2024-12-05 11:30:04.124,,,Main St & Plymouth St,4936.21,40.69,-74.0,40.703781673548306,-73.99073392152786,member
224103,843885730F9E6EBA,electric_bike,2024-12-12 16:47:35.872,2024-12-12 16:48:43.547,,,23 Ave & 27 St,7178.02,40.78,-73.92,40.776165,-73.9153175,member
230431,02348B938CC92A26,electric_bike,2024-12-04 21:55:54.136,2024-12-04 22:13:01.661,,,38 Ave & 29 St,6538.11,40.76,-73.99,40.75473,-73.93367,member
232420,5FDC8C663F708302,electric_bike,2024-12-07 16:31:27.567,2024-12-07 16:34:40.156,,,W 42 St & Dyer Ave,6644.07,40.75,-73.99,40.75898481399634,-73.99379968643188,member
232437,AAE2AC6AAB88948C,electric_bike,2024-12-12 18:31:22.830,2024-12-12 18:34:16.294,,,E 72 St & York Ave,6889.12,40.77,-73.96,40.76663814,-73.95348296,member
232535,47FB7CB6F7BEDAC0,electric_bike,2024-12-02 16:51:42.321,2024-12-02 17:16:06.885,,,E 72 St & York Ave,6889.12,40.77,-73.95,40.76663814,-73.95348296,member
233363,4D2B1413DA45A7B9,electric_bike,2024-12-09 19:00:53.041,2024-12-09 19:12:21.056,,,University Pl & E 14 St,5905.14,40.73,-74.01,40.734814,-73.992085,member
