,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
79469,C64862E4FB8456BF,electric_bike,2024-12-07 14:43:06.594,2024-12-07 14:48:14.751,Grand St & Greene St,5500.02,Vesey St & Greenwich St,,40.72170005235607,-74.00238141417502,40.71,-74.01,member
79645,47933E86F99A30CE,electric_bike,2024-12-12 14:41:45.272,2024-12-12 14:58:40.082,W Broadway & W Houston St,5644.05,11 Ave & W 41 St,,40.726378,-74.000472,40.76,-74.0,member
82021,839B7AA892DD242B,electric_bike,2024-12-14 12:43:18.474,2024-12-14 12:50:50.600,W 51 St & 7 Ave,6779.07,E 47 St & 2 Ave,,40.76167,-73.98256,40.75,-73.97,member
83912,280EE427AD7E4FBC,electric_bike,2024-12-08 15:25:17.421,2024-12-08 15:28:20.442,Lenox Ave & W 130 St,7753.13,E 128 St & Madison Ave,,40.8107922,-73.9430681,40.81,-73.94,member
85581,C919C0572B7609FA,electric_bike,2024-12-12 17:49:58.749,2024-12-12 17:54:29.348,E 17 St & 2 Ave,5896.01,E 33 St & 1 Ave,,40.73431166276575,-73.98372530937195,40.74,-73.97,member
85597,4D57488C00F999D8,electric_bike,2024-12-12 14:11:01.599,2024-12-12 14:15:45.319,Broadway & E 19 St,5980.11,E 11 St & 3 Ave,,40.73829,-73.99006,40.73,-73.99,member
86186,719CCA6B1E3C4107,electric_bike,2024-12-12 15:01:12.538,2024-12-12 16:01:51.667,W 36 St & 7 Ave,6483.06,E 33 St & 1 Ave,,40.752149,-73.989539,40.74,-73.97,casual
86954,CCF29A33E54CD10B,electric_bike,2024-12-12 14:22:52.669,2024-12-12 14:28:43.746,Dean St & Hoyt St,4446.05,Bergen St & Flatbush Ave,,40.6864442,-73.98759104,40.68,-73.98,member
89191,C3D61612990698C6,electric_bike,2024-12-12 14:16:29.000,2024-12-12 14:23:42.722,N 15 St & Wythe Ave,5520.09,Morgan Ave & Lombardy St,,40.724055,-73.955736,40.72,-73.94,member
89642,D9D081E7A1990783,electric_bike,2024-12-12 13:01:43.101,2024-12-12 13:39:34.971,Broadway & W 58 St,6948.10,5 Ave & E 78 St,,40.76695317,-73.98169333,40.78,-73.96,casual
90331,A5C5D533DC1341E3,electric_bike,2024-12-12 12:43:33.242,2024-12-12 12:59:54.202,Lenox Ave & W 115 St,7627.10,E 89 St & York Ave,,40.8011939,-73.9500739,40.78,-73.95,member
91037,A6005E502C8D9692,electric_bike,2024-12-14 13:28:18.236,2024-12-14 13:44:56.005,W 100 St & Broadway,7580.01,E 47 St & 2 Ave,,40.7973721,-73.97041192,40.75,-73.97,member
92345,55EC9F884E6A1DBE,electric_bike,2024-12-12 14:45:50.078,2024-12-12 14:58:11.845,Pitt St & Stanton St,5406.04,2 Ave & E 29 St,,40.71926081,-73.98178024,40.74,-73.98,member
92983,7A2EDEB322B4D778,electric_bike,2024-12-12 13:37:53.586,2024-12-12 14:47:11.405,W 44 St & 5 Ave,6551.02,W 111 St & 5 Ave,,40.75500254,-73.98014437,40.8,-73.95,member
94063,2A2D9F1DD443B47C,electric_bike,2024-12-12 14:01:15.809,2024-12-12 14:06:52.425,W 36 St & 9 Ave,6569.07,12 Ave & W 40 St,,40.75462324029105,-73.99516761302948,40.76,-74.0,member
95261,8EEA85E6CF4F004B,electric_bike,2024-12-12 13:09:54.783,2024-12-12 13:19:12.617,3 Ave & E 62 St,6830.04,E 63 St & 3 Ave,,40.76313,-73.96527,40.76,-73.96,member
97931,9BDDA847E38358F7,electric_bike,2024-12-12 13:02:17.964,2024-12-12 13:05:23.527,7 Ave S & Bleecker St,5805.07,Bank St & Washington St,,40.73213896287381,-74.00363802909851,40.74,-74.01,member
98222,B316B92D236E4E0C,electric_bike,2024-12-12 14:31:46.632,2024-12-12 14:39:29.173,Murray St & West St,5329.08,Bank St & Washington St,,40.71503,-74.01246,40.74,-74.01,member
99886,783258A04559801E,electric_bike,2024-12-12 12:41:25.027,2024-12-12 12:47:41.236,Lexington Ave & Classon Ave,4452.03,Lewis Ave & Greene Ave,,40.68676793,-73.95928168,40.69,-73.94,member
100087,1A69C4A8EBCD1390,electric_bike,2024-12-12 16:03:12.998,2024-12-12 16:07:40.855,Congress St & Clinton St,4455.10,Clinton St & 4 Place,,40.68825516598005,-73.99545192718506,40.68,-74.0,member
